cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
2060,CID 2060,"AC1L1CTR|SCHEMBL4309770|CTK6F8581|ethyl 4-[[2-[(4-fluorophenyl)methyl]-6-methyl-5-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-4-oxoheptanoyl]amino]-5-(2-oxopyrrolidin-3-yl)pentanoate",600.700,C31H41FN4O7,157.000,972.000,NULL,43,3,9,17,LMIUALQNZXJHOG-UHFFFAOYSA-N,"ethyl 4-[[2-[(4-fluorophenyl)methyl]-6-methyl-5-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-4-oxoheptanoyl]amino]-5-(2-oxopyrrolidin-3-yl)pentanoate",NULL,1040,2,NULL,20050325,NULL
492943,"Ethyl (4S)-7-amino-4-[[(2S)-3-(4-fluorophenyl)-2-[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]oxypropanoyl]amino]-7-oxohept-2-enoate",NULL,574.600,C28H35FN4O8,180.000,938.000,NULL,41,3,10,17,YJFMXXPPIPGSGB-XTJBDQBJSA-N,"ethyl (4S)-7-amino-4-[[(2S)-3-(4-fluorophenyl)-2-[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]oxypropanoyl]amino]-7-oxohept-2-enoate",NULL,1040,2,NULL,20050801,NULL
492944,"Ethyl (4S)-7-amino-4-[[(2S)-3-(4-fluorophenyl)-2-[[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]amino]propanoyl]amino]-7-oxohept-2-enoate",NULL,573.600,C28H36FN5O7,183.000,939.000,NULL,41,4,9,16,UFMNDOUAXQOQTP-WATLYSKOSA-N,"ethyl (4S)-7-amino-4-[[(2S)-3-(4-fluorophenyl)-2-[[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]amino]propanoyl]amino]-7-oxohept-2-enoate",NULL,1040,2,NULL,20050801,NULL
492946,"Ethyl (4S)-4-[[(2S)-3-(4-fluorophenyl)-2-[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]oxypropanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,600.600,C30H37FN4O8,166.000,1020.000,NULL,43,3,10,16,NOGZNKUJYKEFLY-YXOQKGKWSA-N,"ethyl (4S)-4-[[(2S)-3-(4-fluorophenyl)-2-[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]oxypropanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,1040,2,NULL,20050801,NULL
492947,"Ethyl (4S)-4-[[(2S)-3-(4-fluorophenyl)-2-[[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]amino]propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,599.600,C30H38FN5O7,169.000,1020.000,NULL,43,4,9,15,JSJRYDPMCHPLOL-VBZBYZBJSA-N,"ethyl (4S)-4-[[(2S)-3-(4-fluorophenyl)-2-[[(2S)-3-methyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]amino]propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,1040,2,NULL,20050801,NULL
497282,"Ethyl (4S)-7-amino-4-[[(2S)-2-[4-methyl-3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]-3-phenylpropanoyl]amino]-7-oxohept-2-enoate",NULL,563.600,C29H33N5O7,174.000,1080.000,NULL,41,3,8,14,PMLXJMVSESGFEC-GMAHTHKFSA-N,"ethyl (4S)-7-amino-4-[[(2S)-2-[4-methyl-3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]-3-phenylpropanoyl]amino]-7-oxohept-2-enoate",NULL,1040,2,NULL,20050801,NULL
497283,"Ethyl (4S)-4-[[(2S)-3-(4-fluorophenyl)-2-[3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,593.600,C30H32FN5O7,160.000,1150.000,NULL,43,3,9,13,DPSADWBPDLMTOY-HOKHCIIBSA-N,"ethyl (4S)-4-[[(2S)-3-(4-fluorophenyl)-2-[3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,1040,2,NULL,20050801,NULL
497285,"Propan-2-yl (4S)-4-[[(2S)-3-(3,4-difluorophenyl)-2-[3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,625.600,C31H33F2N5O7,160.000,1220.000,NULL,45,3,10,13,IDEQIHVMYCERBI-UZINWLIJSA-N,"propan-2-yl (4S)-4-[[(2S)-3-(3,4-difluorophenyl)-2-[3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,1040,2,NULL,20050801,NULL
501966,"Ethyl (4S)-4-[[(2S)-2-[[(2S)-3,3-dimethyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]amino]-3-(4-fluorophenyl)propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,613.700,C31H40FN5O7,169.000,1060.000,NULL,44,4,9,15,JBRKSGSKGATCEA-TYDNGALESA-N,"ethyl (4S)-4-[[(2S)-2-[[(2S)-3,3-dimethyl-2-[(5-methyl-1,2-oxazole-3-carbonyl)amino]butanoyl]amino]-3-(4-fluorophenyl)propanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,1040,2,NULL,20050801,NULL
508228,"Benzyl (4S)-4-[[(2S)-2-[3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]butanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,575.600,C30H33N5O7,160.000,1110.000,NULL,42,3,8,13,JCRZIFCWUXJHSS-FBLLAGFSSA-N,"benzyl (4S)-4-[[(2S)-2-[3-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-2-oxopyridin-1-yl]butanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",NULL,1040,2,NULL,20050801,NULL
