PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,6,
1,842353,644611,Active,28,,,26.49,1.07414
2,842393,644661,Inactive,0,,,-3.21,0.539316
3,843085,645365,Inactive,4,,,4.43,2.16229
4,843208,645492,Active,20,,,19.06,0.315606
5,845167,647501,Active,39,,,36.62,11.3935
6,846007,648374,Inactive,0,,,0.77,1.82194
7,846350,648736,Active,28,,,26.17,2.8272
8,847003,649398,Active,37,,,34.56,1.36051
9,847463,649868,Active,27,,,25.62,3.27661
10,847588,649992,Inactive,0,,,-1.43,1.34009
11,848837,651293,Inactive,0,,,0.91,0.516259
12,849297,651774,Active,22,,,21.22,1.4038
13,849971,652480,Inactive,5,,,5.17,2.01548
14,851897,654498,Active,31,,,28.74,0.542037
15,853290,655942,Active,29,,,27.65,0.337978
16,856111,657485,Active,64,,,59.19,0.338339
17,858624,659929,Active,81,,,75.21,0.497966
18,859300,6602830,Active,36,,,33.64,1.63065
19,859604,660907,Inactive,4,,,3.79,2.85358
20,860204,661510,Active,14,,,13.44,1.59411
21,863690,664943,Inactive,6,,,5.95,0.843166
22,863849,665102,Inactive,0,,,-1.77,1.82665
23,865468,666722,Inactive,2,,,1.95,1.67022
24,3711170,2997527,Active,14,,,13.3,2.2947
25,3712111,2348921,Inactive,3,,,3.42,2.14634
26,3713735,2097351,Inactive,6,,,6.32,1.42298
27,3714360,2998767,Active,13,,,12.33,0.668183
28,3714591,2108058,Inactive,5,,,5.49,0.570771
29,3715076,2310813,Inactive,11,,,10.35,0.723589
30,3716169,2323124,Inactive,9,,,9.15,1.34172
31,3717392,2999977,Active,33,,,31.33,0.429821
32,4240582,3235672,Inactive,9,,,8.41,0.136757
33,4242609,3237441,Inactive,1,,,1.72,0.840217
34,4242774,3237586,Inactive,6,,,5.73,1.42088
35,4244480,3239069,Inactive,2,,,1.99,1.04089
36,4248348,3242436,Inactive,2,,,2.01,3.45099
37,4250507,3244307,Inactive,7,,,7.31,0.688053
38,4251951,3245569,Inactive,0,,,-3.74,1.88171
39,4255208,930620,Active,19,,,18.14,1.43151
40,4255238,893627,Inactive,1,,,1.07,0.599796
41,4256508,1188014,Inactive,11,,,10.37,0.581906
42,4258588,5741945,Inactive,0,,,-2.24,2.133
43,4259348,880528,Active,24,,,22.47,1.3529
44,4260274,638860,Active,35,,,32.78,0.855339
45,4261064,1249482,Inactive,0,,,-5.54,2.37927
46,4261360,1299520,Inactive,0,,,-4.84,0.695468
47,7966556,948801,Active,34,,,31.46,0.678508
48,7973891,805223,Active,16,,,15.55,1.8968
49,7975174,1160939,Active,41,,,38.42,3.76392
50,8139897,3037,Inactive,7,,,7.23,1.67756
51,14718690,4377849,Inactive,0,,,-0.1,0.367871
52,14719153,4395364,Inactive,12,,,11.5,0.851002
