pdb_id,organism_scientific_name,tax_id,organism_synonyms,rank,genus,superkingdom,molecule_name,molecule_synonym,molecule_type,entity_id,modified_residue_flag,mutation_type,uniprot_accession,uniprot_id,gene_name,interacting_molecules,interacting_ligands,compound_id,compound_name,compound_systematic_name,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues
3.00E+91,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"ORF1a polyprotein,nsp11,nsp3,p65 homolog,Replicase polyprotein 1a,Non-structural protein 3,Non-structural protein 8,3CLp,nsp5,nsp2,Leader protein,GFL,Growth factor-like peptide,SARS coronavirus main proteinase,PL-PRO,Non-structural protein 1,Non-structural protein 11,Non-structural protein 6,Non-structural protein 9,nsp4,Papain-like proteinase,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,nsp1,nsp6,nsp7,pp1a,3C-like proteinase,Non-structural protein 7,3CL-PRO,nsp8,nsp10,nsp9,PL2-PRO",Protein,1,N,Engineered mutation,P0C6U8,R1A_CVHSA,1a,,,,,,33788.535,2,612,1,0,2,305
1q2w,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"ORF1a polyprotein,nsp11,nsp3,p65 homolog,Replicase polyprotein 1a,Non-structural protein 3,Non-structural protein 8,3CLp,nsp5,nsp2,Leader protein,GFL,Growth factor-like peptide,SARS coronavirus main proteinase,PL-PRO,Non-structural protein 1,Non-structural protein 11,Non-structural protein 6,Non-structural protein 9,nsp4,Papain-like proteinase,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,nsp1,nsp6,nsp7,pp1a,3C-like proteinase,Non-structural protein 7,3CL-PRO,nsp8,nsp10,nsp9,PL2-PRO",Protein,1,N,Cloning artifact,P0C6U8,R1A_CVHSA,1a,,"MPD : (4S)-2-METHYL-2\,4-PENTANEDIOL",MPD,"MPD : (4S)-2-METHYL-2\,4-PENTANEDIOL","MPD : (4S)-2-methylpentane-2\,4-diol",33987.73,2,616,1,1,2,297
1uj1,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33876.637,2,612,1,0,2,302
1uk2,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33876.637,2,612,1,0,2,302
1uk3,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33876.637,2,612,1,0,2,302
1uk4,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",5-mer peptide of inhibitor,ATO : CHLOROACETONE,ATO,ATO : CHLOROACETONE,ATO : 1-chloropropan-2-one,33876.637,5,627,2,1,5,302
1wof,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,Cloning artifact,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,I12 : N-[(5-METHYLISOXAZOL-3-YL)CARBONYL]-L-ALANYL-L-VALYL-N~1~-((1S)-4-ETHOXY-4-OXO-1-{[(3S)-2-OXOPYRROLIDIN-3-YL]METHYL}BUT-2-ENYL)-L-LEUCINAMIDE,I12,I12 : N-[(5-METHYLISOXAZOL-3-YL)CARBONYL]-L-ALANYL-L-VALYL-N~1~-((1S)-4-ETHOXY-4-OXO-1-{[(3S)-2-OXOPYRROLIDIN-3-YL]METHYL}BUT-2-ENYL)-L-LEUCINAMIDE,"I12 : N-[(5-methylisoxazol-3-yl)carbonyl]-L-alanyl-L-valyl-N-[(1S\,2E)-4-ethoxy-4-oxo-1-{[(3S)-2-oxopyrrolidin-3-yl]methyl}but-2-en-1-yl]-L-leucinamide,I12 : ethyl (4S)-4-[[(2S)-4-methyl-2-[[(2S)-3-methyl-2-[[(2S)-2-[(5-methyl-1\,2-oxazol-3-yl)carbonylamino]propanoyl]amino]butanoyl]amino]pentanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",34288.086,2,622,1,1,2,309
1z1i,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33876.637,1,306,1,0,1,301
1z1j,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,Engineered mutation,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33844.57,2,612,1,0,2,306
2a5a,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,"CL : CHLORIDE ION,EDO : 1\,2-ETHANEDIOL","EDO,CL","EDO : 1\,2-ETHANEDIOL,CL : CHLORIDE ION","EDO : ethane-1\,2-diol,CL : chloride",33876.637,1,306,1,2,1,306
